GM,EntryYear,EntryClub,PlayersDrafted,NorthStar,NorthStarRank,PERC,FBC,Mental,WorkEthic,Passion,Coach,Teammate,Leader,Dependability,Confidence,LifeSkills,ManagementOfCollegeLife,Relationships,OffField,MentalOverall,SDTotal,CombineInvites,UCWatch,EntryAge,SRB,isPower5,isFBS,isFCS,isD2,HTAvg,WTAvg,ArmAvg,Avg40Avg,OL,DL,OLB,ILB,DS,DC,RB,WR,QB,TE,GS,GP,GM2,GMI,GMO,GPI,GI,AvgEvalCount,NormalizedAvg,AAAvg,EXPAvg,SpdAvg,StrAvg,CmpsAvg,TghsAvg,FBIAvg,Day1PicksPercentile,Day2PicksPercentile,Day3PicksPercentile,avgEPAR
Eric DeCosta,2021,BLT,8,2.164476103,133,2.2125,2.1625,2.4375,2.1875,2.125,1.9375,2,2.5625,1.9375,1.75,2.3375,2.3375,2.1,2.2125,2.3125,3.465772434,1,0.375,22.7625,0.5,0.875,1,0,0,40,38,40,37,1,2,2,0,0,2,0,0,0,0,20.5,40.375,9.875,4.625,0.625,1.5,0.875,8.375,4.13875,2.9125,3.075,3.125,2.625,2.6125,2.8375,2.9625,0.25,0.25,0.5,0.738080914
Eric DeCosta,2022,BLT,11,2.174398396,142,1.863636,2.290909,2.727272,2.318181,2.5,2.181818,2.045454,2.590909,1.863636,1.954545,2.227272,1.954545,1.863636,1.818181,2.227272,1.627525981,1,0.454545455,22.881818,0.545454545,0.727272727,1,0,0,44,51,51,51,2,2,1,0,2,1,1,0,0,2,21.63636364,37.27272727,9.363636364,1.636363636,0.727272727,1.181818182,0.909090909,7.363636364,3.874,2.81,2.93,3.06,2.94,2.8,2.99,2.95,0.181818182,0.181818182,0.636363636,0.819002093
Eric DeCosta,2023,BLT,6,2.249031279,179,1.983333,2.383333,2.666666,2,2,2.166666,2.166666,3,2.166666,2.166666,2.083333,1.916666,2.166666,2.083333,2.616666,3.093387133,1,0.166666667,23.55,0.333333333,1,1,0,0,36,54,56,37,2,1,1,1,0,1,0,0,0,0,32.33333333,41.33333333,6,3.333333333,0.666666667,0,0.666666667,8.5,4.108333,2.9,2.816666,2.833333,3.183333,2.6,3,3.1,0.166666667,0.166666667,0.666666667,0.600085277
Eric DeCosta,2024,BLT,9,2.210820863,158,2.255555,2.155555,2.055555,2.111111,1.833333,2.055555,2.277777,2.388888,2.055555,2.055555,2.222222,2.222222,2.055555,2.222222,2.588888,1.829771876,0.888888889,0.555555556,22.922222,0.444444444,0.888888889,1,0,0,44,54,52,36,2,1,1,0,1,2,1,0,1,0,26.44444444,40.22222222,10.88888889,3.111111111,0.555555556,0.333333333,0.777777778,7.222222222,4.457777,3.133333,3.022222,2.922222,3.2,2.655555,2.9,3.133333,0.111111111,0.222222222,0.666666667,0.663817329
Brandon Beane,2017,BUF,6,1.68835034,6,1.666666,1.533333,1.75,1.3,1.383333,1.616666,1.716666,2.166666,1.25,1.833333,1.533333,2.083333,1.833333,1.866666,NULL,1.300149615,1,0,22.916666,0.666666667,0.5,1,0,0,56,50,52,54,1,0,0,2,0,1,0,0,1,0,36.33333333,44.83333333,2.833333333,0,0,0,0,5,4.083333,2.5,2.95,2.566666,2.766666,1.766666,2.1,2.016666,0.166666667,0.333333333,0.5,0.807036814
Brandon Beane,2018,BUF,8,2.230028736,169,2.25,2.375,2.4,2.2375,1.975,2.0625,2.025,2.6,2.4,2.1875,2.375,2.1875,2.125,1.9375,NULL,3.362875108,0.875,0.375,22.5,0.625,0.625,0.75,0.25,0,46,38,41,56,1,1,0,1,2,0,0,0,1,0,28.125,40.375,7,0,0,0.75,0,4.625,4.5525,2.15,2.9,2.625,2.7125,2.0375,2.15,2.4,0.25,0.125,0.625,0.731130137
Brandon Beane,2019,BUF,8,1.962037037,48,2,1.875,1.9375,1.6875,1.625,2.0625,2.125,2.25,1.8125,1.875,2.5,1.9375,1.875,1.875,NULL,-1.165464604,1,0.75,22.6625,0.25,0.625,0.875,0.125,0,58,53,61,67,1,2,1,1,1,0,1,0,0,2,28,37,9,2.375,1.75,0.875,0,7.5,3.6525,2.0875,2.5375,2.525,2.8875,1.6875,1.8875,2.1,0.125,0.375,0.5,0.736879763
Brandon Beane,2020,BUF,7,1.796107917,13,1.714285,1.671428,1.571428,1.714285,1.857142,1.714285,1.571428,2,1.428571,2,1.928571,1.642857,1.928571,1.785714,1.928571,-2.413753528,1,0.571428571,22.5,0.285714286,0.714285714,1,0,0,39,37,45,80,0,1,0,0,1,0,1,0,1,0,28,42.71428571,5.714285714,1.714285714,2,1,0.428571429,8,3.945,2.866666,3.416666,3.283333,2.916666,2.666666,2.75,2.733333,0,0.285714286,0.714285714,0.821078841
Brandon Beane,2021,BUF,8,1.974078906,52,1.9625,1.975,2.1875,1.875,1.75,1.875,1.875,2.4375,1.6875,1.8125,2.2,2.0875,1.9375,1.9,2.1875,2.887746954,1,0.375,22.85,0.625,0.625,0.875,0.125,0,38,41,45,48,3,2,2,0,1,1,0,0,0,0,28.5,33.375,14.125,11.375,0.375,0.75,1.125,9.125,4.08875,2.7625,2.95,2.9375,3.0375,2.6375,2.775,2.8125,0.125,0.25,0.625,0.62707808
Brandon Beane,2022,BUF,8,1.890395221,31,2,1.6875,1.8125,1.8125,1.8125,1.8125,1.8125,2.5,1.625,1.875,1.8375,2.0875,1.775,1.9625,1.85,2.033058892,0.875,0.375,22.65,0.25,0.625,0.875,0.125,0,40,47,70,55,1,0,0,2,0,2,1,0,0,0,21,41.625,9.125,2.25,0.25,0.125,1,7.125,4.358571,2.914285,3.1,3.171428,3.128571,2.571428,2.828571,2.642857,0.125,0.25,0.625,0.745502184
Brandon Beane,2023,BUF,6,2.09869281,102,1.766666,2.166666,2.166666,2.166666,2,2.166666,2,2.166666,1.833333,2.166666,2.166666,2,2.083333,1.833333,2.283333,0.255810333,1,0.5,23.05,0.5,0.833333333,1,0,0,39,40,36,55,2,0,0,1,0,1,0,0,0,1,32.83333333,47.5,5.333333333,1.166666667,0.166666667,0.333333333,1,8.666666667,4.083333,3.1,3.116666,3.083333,2.983333,2.516666,2.783333,2.816666,0.166666667,0.333333333,0.5,0.711588807
Brandon Beane,2024,BUF,10,1.785116386,12,1.755555,1.633333,1.555555,1.666666,1.555555,1.666666,1.666666,2.111111,1.777777,1.666666,1.888888,2,1.944444,1.888888,1.922222,3.04365703,0.9,0.2,23.44,0.5,0.8,0.9,0,0,57,57,63,40,3,2,1,1,1,1,1,0,0,0,27.5,40.7,10.3,2.1,0.2,0.1,0.5,7.3,4.417777,2.988888,3.033333,3.088888,3.088888,2.522222,2.8,2.855555,0,0.3,0.7,0.695256963
Marty Hurney,2017,CAR,7,1.651785714,5,1.5,1.642857,1.857142,1.785714,1.714285,1.714285,1.571428,1.928571,1.5,1.857142,1.357142,1.714285,1.928571,1.5,NULL,3.286972573,0.857142857,0.285714286,22.271428,0.428571429,0.714285714,0.857142857,0,0.142857143,52,50,47,47,1,1,0,0,0,1,2,0,0,0,26.14285714,43.42857143,4.285714286,0,0,0,0,3.571428571,4.28,2.514285,2.742857,2.528571,2.828571,1.942857,2.485714,2.557142,0.142857143,0.428571429,0.428571429,0.825123552
